community_id,size,fraud_count,fraud_rate,avg_degree,avg_betweenness,avg_closeness
3,1659,170,0.1024713682941531,7.652200120554551,8.828843867203769e-07,0.29409592974631654
7,1609,161,0.10006215040397763,7.625233064014916,8.239096553334671e-07,0.2945438830754206
1,1604,167,0.1041147132169576,7.5056109725685785,8.13927053918755e-07,0.2948672454037554
26,1550,179,0.11548387096774193,7.540645161290323,8.146201187984305e-07,0.29436239738060616
23,1396,137,0.09813753581661891,7.460601719197708,7.775351572020864e-07,0.2929935739457268
8,1307,121,0.09257842387146137,7.599081866870696,8.458546989738674e-07,0.29442998320951635
9,1261,125,0.09912767644726407,7.4242664551942905,8.30911518031412e-07,0.29273486293514644
5,1029,98,0.09523809523809523,7.463556851311953,8.765290092178209e-07,0.293617446057538
11,916,87,0.09497816593886463,7.418122270742358,7.779110456898055e-07,0.29299586990011156
25,838,12,0.014319809069212411,1.0,0.0,0.02018634259009742
22,652,18,0.027607361963190184,1.0,0.0,0.015708517110353336
18,650,10,0.015384615384615385,1.0,0.0,0.015660368455666426
14,592,16,0.02702702702702703,1.0,0.0,0.01426405755342758
4,529,7,0.013232514177693762,1.0,0.0,0.012747375247650156
17,492,11,0.022357723577235773,1.0,0.0,0.011856625466969924
19,484,12,0.024793388429752067,1.0,0.0,0.011664030937047517
16,484,10,0.02066115702479339,1.0,0.0,0.011664030937047517
10,483,16,0.033126293995859216,1.0,0.0,0.0116399566212797
15,442,11,0.024886877828054297,1.0,0.0,0.01065290977542057
24,434,6,0.013824884792626729,1.0,0.0,0.010460315294459711
13,431,5,0.01160092807424594,1.0,0.0,0.01038809236650993
6,405,11,0.027160493827160494,1.0,0.0,0.00976216038439439
21,362,11,0.03038674033149171,1.0,0.0,0.008726965466872044
0,357,12,0.03361344537815126,1.0,0.0,0.00860659399254349
12,271,5,0.01845018450184502,1.0,0.0,0.006536205985228367
20,208,5,0.02403846153846154,1.0,0.0,0.005019529221899865
2,207,6,0.028985507246376812,1.0,0.0,0.004995455020794263
