name,description,n_features,threshold,accuracy,precision,recall,f1,auc,cm
1_Transaction_Only,Baseline: Transaction features only (57 features),57,0.5,0.7906076010651174,0.19622245540398742,0.6538461538461539,0.3018563357546408,0.8295652332063254,"[[3079  766]
 [  99  187]]"
2_Transaction_OldNetwork,Transaction + Old Network (61 features: 57+4),61,0.5,0.7898813846526265,0.19432773109243698,0.6468531468531469,0.2988691437802908,0.8242518210008457,"[[3078  767]
 [ 101  185]]"
3_Transaction_NewNetwork,Transaction + New Network (65 features: 57+8),61,0.5,0.7898813846526265,0.19432773109243698,0.6468531468531469,0.2988691437802908,0.8242518210008457,"[[3078  767]
 [ 101  185]]"
4_Network_Only,Network features only (8 features),4,0.4,0.6013071895424836,0.11488398415393322,0.7097902097902098,0.1977593765221627,0.664668491456528,"[[2281 1564]
 [  83  203]]"
